team_id,owner_name,consortium_name,ceo_name,ownership_archetype,founding_year,headquarters,ceo_involvement,ceo_patience,ceo_media_presence,ceo_ambition,patience_modifier,trophy_obsession_level,financial_generosity,staff_budget_flexibility,stadium_upgrade_willingness,meddling_frequency,lineup_interference_tendency,scouting_investment_level,brand_commercial_priority,expected_position_baseline,min_acceptable_wins,youth_regen_target_count,vision_statement,rationale,sacking_trigger_tolerance
CSK,N. Srinivasan & Gurunath Family,Chennai Super Kings Cricket Ltd,K.S. Viswanathan,patron_continuity,2008,"Chennai, Tamil Nadu",12,18,8,17,12,15,17,16,15,2,1,16,14,2,8,2,"Stability, loyalty, and unwavering trust in cricket experts above short-term noise.",Unmatched continuity culture. Extremely patient with cricket leadership and shields staff during slumps.,
MI,Nita Ambani & Akash Ambani,Reliance Industries Ltd (Indiawin Sports),Rahul Sanghvi,brand_legacy,2008,"Mumbai, Maharashtra",16,14,10,20,4,20,20,20,19,7,6,20,19,2,9,3,The global benchmark for T20 excellence. Winning is not a goal; it is the standard.,Elite brand standards and top financial backing. Expects titles and playoff qualification every season.,
KKR,"Shah Rukh Khan, Jay Mehta & Juhi Chawla",Knight Riders Sports Pvt Ltd,Venky Mysore,patron_continuity,2008,"Kolkata, West Bengal",18,16,15,18,6,16,18,17,16,4,3,17,18,3,8,2,"Fearless, attractive cricket backed by long-term faith in coaching leadership.",Strong loyalty to coaching staff across multi-year cycles. Supports aggressive cricket identity.,
RCB,Diageo Executive Board,Royal Challengers Sports Pvt Ltd (United Spirits),Rajesh Menon,corporate_analytical,2008,"Bengaluru, Karnataka",15,13,14,19,-2,18,19,18,17,8,8,14,20,3,8,2,Unrivalled fan engagement and commercial prestige paired with elite T20 performance.,Corporate oversight with high brand equity expectations. Moderate patience for multi-season rebuilds.,
LSG,Sanjiv Goenka,RPSG Group (RPSG Sports Pvt Ltd),Vinod Bisht,hands_on_volatile,2022,"Lucknow, Uttar Pradesh",17,8,12,19,-5,17,17,16,15,17,14,14,15,3,8,2,"Immediate results, fierce competitiveness, and constant pursuit of perfection.",Highly vocal ownership with quick reactions to dry spells. Demands fast turnarounds.,
PBKS,"Preity Zinta, Ness Wadia & Mohit Burman",KPH Dream Cricket Pvt Ltd,Satish Menon,hands_on_volatile,2008,"Mohali, Punjab",14,7,16,16,-8,15,15,14,13,16,12,13,16,4,7,2,"High energy, fresh starts, and breaking through into sustained playoff contention.",History of frequent leadership and coaching restructuring. Low institutional patience.,
SRH,Kalanithi Maran & Kaviya Maran,SUN TV Network Ltd,Kaviya Maran,hands_on_volatile,2013,"Hyderabad, Telangana",19,8,19,18,-7,16,16,15,14,13,10,15,12,4,7,2,"Disciplined tactical execution, prudent spending, and ruthless accountability.",Strict performance accountability. Quick to restructure coaching staff after missed playoff campaigns.,
GT,CVC Capital Partners & Torrent Group,Irelia Company Pte Ltd,Arvinder Singh,private_equity,2022,"Ahmedabad, Gujarat",13,15,9,17,8,14,17,16,18,4,2,16,13,3,8,3,"Data-backed decisions, empowerment of coaching leadership, and strategic asset growth.","Data-driven, private-equity approach. Gives established coaching structures stability and space.",
RR,Manoj Badale & RedBird Capital Partners,Emerging Media IPL Ltd,Jake Lush McCrum,youth_innovator,2008,"Jaipur, Rajasthan",17,15,16,17,10,13,15,15,14,5,3,20,11,4,7,4,"Pioneering youth scouting, high-performance academies, and process over panic.",Heavy emphasis on academy scouting and process over short-term fixes. Patient with young squads.,
DC,Parth Jindal (JSW) & Kiran Kumar Grandhi (GMR),JSW Sports & GMR Sports Pvt Ltd,Sunil Gupta,corporate_analytical,2008,"New Delhi, Delhi",15,12,11,17,1,15,16,15,15,8,6,17,15,3,8,3,Building a sustainable championship contender powered by Indian grassroots development.,Dual corporate partnership. Balances multi-season coaching stability with high playoff expectations.,3.0
